,State,x,y
0,Amazonas,-155.0,154.0
1,Roraima,-99.0,240.0
2,Para,23.0,141.0
3,Amapa,40.0,228.0
4,Acre,-211.0,72.0
5,Rondonia,-123.0,56.0
6,Mato Grosso,-21.0,22.0
7,Maranhao,132.0,130.0
8,Tocantins,86.0,54.0
9,Goias,58.0,-23.0
10,Mato Grosso do Sul,-11.0,-86.0
11,Piaui,163.0,83.0
12,Bahia,170.0,19.0
13,Minas Gerais,132.0,-60.0
14,Sao Paulo,67.0,-118.0
15,Parana,24.0,-143.0
16,Santa Catarina,43.0,-190.0
17,Rio Grande do Sul,-4.0,-221.0
18,Ceara,206.0,123.0
19,Rio Grande do Norte,256.0,106.0
20,Paraiba,250.0,85.0
21,Pernambuco,244.0,60.0
22,Alagoas,253.0,47.0
23,Sergipe,237.0,35.0
24,Espirito Santo,178.0,-92.0
25,Rio de Janeiro,146.0,-128.0
